Бренд;Коллекция;Категория;categoryId;Тип соединения;Фаска;Порода дерева;Селекция;Тон;Конструкция;Разновидность
Orac Decor;;Аксессуары;359;;;нет;;;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Pergo;;Аксессуары;359;;;;;;;
Coswick;Авторская;Паркетная доска;359;замковое соединение;четырехсторонняя;Дуб;Селект энд Бэттер;Серый;;
Pergo;;Аксессуары;359;;;Дуб;;Серый;;
Coswick;Классическая;Инженерная доска;359;шип-паз;четырехсторонняя;Орех Американский;Традишинал;Коричневый;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Pergo;;Аксессуары;359;;;Удалить;;Белый;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Karelia;;Аксессуары;359;;;Дуб;;;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Pergo;;Аксессуары;359;;;Удалить;;;;
Coswick;Классическая;Инженерная доска;359;шип-паз;четырехсторонняя;Орех Американский;1 Натур;Светлый;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Orac Decor;;Аксессуары;359;;;нет;;;;
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Pergo;Chevron 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Светлый;;
Polarwood;Herringbone;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Робуст;Бежевый;Двухслойная (дуб+фанера);Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Черектер;;;
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Французская
Alpine Floor;Classic Light;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Neowood;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Alta Step;Encanto;Кварц-Виниловый ламинат;335;замковое соединение;V-Groove;;;Коричневый;;Английская
Coswick;Оттенки серого;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Polarwood;Space;Паркетная доска;20003;замковое соединение;четырехсторонняя;Дуб;Тренд;Коричневый;Трехслойная (дуб+хвоя+береза);
Pergo;Chevron 12 pro;Ламинат;270;замковое соединение;двухсторонняя;Дуб;;Натуральный;;
Polarwood;Herringbone;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Робуст;Серый;Двухслойная (дуб+фанера);Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
